City,Country,Latitude,Longitude,Temperature (F),Humidity %,Cloudiness %,Wind Speed (mph)
Kuril'sk,RU,45.23,147.88,36.37,87,100,14.12
Rodolfo Sánchez Taboada,MX,31.72,-116.57,59.0,92,94,3.0
Magugu,TZ,-4.02,35.77,72.1,59,96,4.52
Marawi,PH,8.0,124.29,83.68,40,100,6.42
Saint Anthony,US,45.02,-93.22,42.08,52,1,8.66
Castro,BR,-24.79,-50.01,61.77,69,56,3.8
Cabo San Lucas,MX,22.89,-109.91,67.6,72,75,5.03
Longyearbyen,SJ,78.22,15.64,-5.8,76,20,6.93
Tessalit,ML,20.2,1.01,68.14,17,25,6.76
Sumbal,IN,34.23,74.63,55.33,37,78,1.48
Yellowknife,CA,62.46,-114.35,1.2,45,20,9.17
América Dourada,BR,-11.46,-41.44,67.35,74,11,5.86
Hobyo,SO,5.35,48.53,87.31,63,88,13.98
Constitución,CL,-35.33,-72.42,55.17,71,2,9.86
Gamba,GA,-2.65,10.0,80.17,86,72,5.86
Saskylakh,RU,71.92,114.08,-4.94,88,36,10.6
Dikson,RU,73.51,80.55,-3.59,91,96,6.13
Port Alfred,ZA,-33.59,26.89,63.0,99,64,3.0
Padang,ID,-0.95,100.35,87.75,63,11,4.63
Jizan,SA,17.33,42.67,82.4,74,70,5.82
Bluff,NZ,-46.6,168.33,64.0,66,3,5.01
Khatanga,RU,71.97,102.5,9.1,93,100,12.57
Vila do Maio,CV,15.13,-23.22,73.4,64,100,11.41
Mar del Plata,AR,-38.0,-57.56,65.28,72,90,12.75
São Filipe,CV,14.9,-24.5,73.65,78,100,12.35
New Norfolk,AU,-42.78,147.06,65.53,52,75,11.41
Stromness,GB,58.97,-3.3,42.96,93,100,17.22
Sioux Lookout,CA,50.1,-91.92,35.92,55,5,5.82
Jumla,NP,29.27,82.18,60.17,15,58,8.77
Hjelset,NO,62.78,7.48,35.47,93,90,4.7
Torbay,CA,47.67,-52.73,37.96,100,90,13.87
Bonavista,CA,48.65,-53.11,33.01,85,100,3.0
Baruun-Urt,MN,46.68,113.28,47.17,26,0,15.61
Hilo,US,19.73,-155.09,65.05,88,75,4.7
Nishihara,JP,26.18,127.76,68.88,77,75,23.04
Solnechnyy,RU,50.72,136.63,41.38,55,70,10.51
Kouango,CF,4.99,19.96,79.07,63,73,5.55
Richards Bay,ZA,-28.78,32.04,74.21,78,100,25.26
Bud,US,39.45,-86.18,40.48,100,90,5.82
Lorengau,PG,-2.02,147.27,83.5,77,99,12.33
Mehamn,NO,71.04,27.85,26.6,86,75,17.22
Kimry,RU,56.87,37.35,28.83,83,92,12.64
Naze,JP,28.37,129.48,67.96,82,75,19.46
Mēga,ET,4.05,38.3,70.34,41,39,16.64
Coquimbo,CL,-29.95,-71.34,57.2,93,75,2.24
Gurh,IN,24.52,81.52,96.89,12,0,2.21
Doha,QA,25.29,51.53,73.69,43,0,4.7
Hofn,IS,64.25,-15.21,32.88,83,0,9.71
Upernavik,GL,72.79,-56.15,-7.26,81,76,11.36
Korla,CN,41.76,86.15,53.28,23,14,8.99
Punta Arenas,CL,-53.15,-70.92,48.09,76,40,9.17
Key West,US,24.56,-81.78,79.66,78,1,9.17
Butaritari,KI,3.07,172.79,84.13,76,93,15.26
Ossora,RU,59.24,163.07,23.38,94,79,2.44
Kamina,CD,-8.74,24.99,71.13,64,64,2.19
Rafai,CF,4.95,23.92,78.13,63,90,3.15
Oranjemund,NA,-28.55,16.43,58.03,76,0,5.86
Manakara,MG,-22.13,48.02,78.17,79,34,6.69
Clyde River,CA,70.47,-68.59,-4.0,76,1,4.7
Victor Harbor,AU,-35.57,138.62,63.63,56,90,12.75
Tasiilaq,GL,65.61,-37.64,12.2,47,2,39.15
Homer,US,59.64,-151.55,33.08,55,20,9.17
Sandwick,GB,60.0,-1.25,45.39,87,95,21.92
Pionerskiy,RU,54.95,20.23,37.4,74,75,17.9
Luau,AO,-10.71,22.22,70.05,62,76,1.1
Otane,NZ,-39.88,176.63,66.99,62,4,1.01
Humaitá,BR,-7.51,-63.02,74.12,95,80,1.14
East London,ZA,-33.02,27.91,60.8,100,75,13.87
Barrow,US,71.29,-156.79,15.8,78,75,16.11
Punta Alta,AR,-38.88,-62.07,63.16,88,100,9.66
Shaunavon,CA,49.65,-108.42,17.19,82,67,17.98
Lata,PT,40.16,-8.33,38.07,81,20,6.93
Lompoc,US,34.64,-120.46,57.76,87,72,8.05
Omsukchan,RU,62.53,155.8,14.59,86,60,6.69
Dunedin,NZ,-45.87,170.5,56.84,79,6,4.32
Mindelo,CV,16.89,-24.98,71.6,78,75,13.87
Provideniya,RU,64.38,-173.3,30.2,86,90,17.9
Camopi,GF,3.17,-52.32,73.54,95,97,2.06
Florence,IT,43.77,11.25,37.26,38,0,10.29
Sendai,JP,38.27,140.87,55.31,82,75,3.36
Evensk,RU,61.95,159.23,16.57,94,96,2.06
Vila Franca do Campo,PT,37.72,-25.43,55.4,62,40,16.11
Margate,GB,51.38,1.39,34.29,92,0,3.36
Chui,UY,-33.7,-53.46,67.5,78,29,12.01
Chokurdakh,RU,70.63,147.92,1.94,92,82,3.98
Saldanha,ZA,-33.01,17.94,57.2,76,0,8.05
Touros,BR,-5.2,-35.46,75.2,100,40,3.36
Nur-Sultan,KZ,51.18,71.45,39.2,64,0,8.95
Erdenet,MN,49.03,104.08,46.49,26,0,9.42
Eureka,US,40.8,-124.16,45.39,75,1,3.36
Dudinka,RU,69.41,86.18,12.2,85,75,20.13
Kandrian,PG,-6.22,149.55,84.42,77,42,8.03
Kirensk,RU,57.79,108.11,33.62,76,82,10.85
Ixtapa,MX,20.7,-105.2,75.2,69,5,3.27
Sørland,NO,67.67,12.69,30.2,92,40,2.24
Harper,LR,4.38,-7.72,80.87,85,94,6.96
Bandar-e Anzali,IR,37.47,49.46,51.8,93,75,3.15
Narsaq,GL,60.92,-46.05,28.4,74,20,5.7
Vitina,BA,43.24,17.48,36.32,73,99,13.38
Kismayo,SO,-0.36,42.55,83.37,79,5,9.26
Leh,IN,34.17,77.58,32.88,19,79,5.59
Diamantina,BR,-18.25,-43.6,58.95,73,10,1.21
George Town,MY,5.41,100.34,91.2,70,40,8.05
Banda Aceh,ID,5.56,95.32,86.59,65,59,9.1
Muros,ES,42.78,-9.06,44.69,93,75,2.24
Heihe,CN,50.24,127.49,50.0,23,52,11.18
Puerto Carreño,CO,6.19,-67.49,82.54,56,87,3.42
Butwāl,NP,27.7,83.45,91.99,14,10,6.33
Sainte-Suzanne,RE,-20.91,55.61,78.93,74,4,4.7
Gerāsh,IR,27.67,54.14,57.2,87,0,1.9
Souillac,MU,-20.52,57.52,81.72,88,40,4.7
Nizwá,OM,22.93,57.53,79.3,34,0,3.44
Hasaki,JP,35.73,140.83,56.82,100,75,10.29
Flinders,AU,-34.58,150.86,70.2,78,75,14.99
Luanda,AO,-8.84,13.23,78.8,88,40,6.93
Kalach-na-Donu,RU,48.69,43.53,30.2,74,2,8.95
Abonnema,NG,4.71,6.79,80.06,86,99,3.6
Winnemucca,US,40.97,-117.74,49.51,37,90,10.29
Fuyang,CN,32.9,115.82,60.12,68,99,6.64
Otradnoye,RU,59.78,30.82,32.52,89,75,8.95
Gayny,RU,60.31,54.32,28.47,97,100,7.43
Bubaque,GW,11.28,-15.83,78.57,71,64,8.21
Muborak,UZ,39.26,65.15,63.82,44,88,13.18
Hobart,AU,-42.88,147.33,66.34,52,75,11.41
Fairbanks,US,64.84,-147.72,21.67,41,1,3.36
Syracuse,IT,37.09,15.28,51.4,81,75,9.17
Pevek,RU,69.7,170.31,1.71,89,86,2.71
Belyy Yar,RU,53.6,91.39,46.4,33,0,5.64
Metetí,PA,8.5,-77.98,74.23,91,26,1.61
Paamiut,GL,61.99,-49.67,16.81,87,48,20.49
Fortuna,US,40.6,-124.16,44.76,87,1,7.14
Esfarāyen,IR,37.08,57.51,42.8,87,20,2.24
Dennery,LC,13.9,-60.89,75.0,75,2,1.01
Buraidah,SA,26.33,43.98,73.4,46,0,17.22
Hambantota,LK,6.12,81.12,84.2,79,75,16.11
Riyadh,SA,24.69,46.72,69.8,22,0,10.29
Ilulissat,GL,69.22,-51.1,3.2,77,100,16.11
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,42.8,52,20,11.18
Talnakh,RU,69.49,88.4,12.2,85,75,20.13
Olafsvik,IS,64.89,-23.71,36.46,72,85,37.0
Kindersley,CA,51.47,-109.17,12.56,66,20,13.87
Marsh Harbour,BS,26.54,-77.06,77.2,81,57,19.57
Oksbøl,DK,55.63,8.29,41.58,93,99,13.87
Nikolskoye,RU,59.7,30.79,32.5,89,75,8.95
Yendi,GH,9.44,-0.01,84.31,60,100,5.91
Meulaboh,ID,4.14,96.13,86.27,69,72,5.28
Porto-Novo,BJ,6.5,2.6,73.4,94,40,3.36
Bataiporã,BR,-22.3,-53.27,69.87,75,21,2.46
Esperance,AU,-33.87,121.9,75.2,44,75,3.36
Avera,US,33.19,-82.53,54.43,87,90,10.29
Roald,NO,62.58,6.13,38.44,86,75,19.46
Port Moresby,PG,-9.44,147.18,87.8,70,75,3.36
Huilong,CN,31.81,121.66,59.0,66,37,1.99
Turukhansk,RU,65.82,87.98,18.75,95,100,7.49
Raudeberg,NO,61.99,5.14,40.86,93,75,14.99
Karratha,AU,-20.74,116.85,94.75,24,95,14.47
Kavaratti,IN,10.57,72.64,86.0,74,20,4.7
Touho,NC,-20.78,165.23,79.29,77,90,14.58
Wencheng,CN,33.06,113.8,59.88,62,96,9.1
Dandong,CN,40.13,124.39,56.77,30,0,18.9
Honolulu,US,21.31,-157.86,75.72,57,75,10.29
Barra do Garças,BR,-15.89,-52.26,72.32,81,35,2.24
Aksu,CN,41.12,80.26,56.21,22,78,6.6
Panjāb,AF,34.39,67.02,31.48,31,94,4.74
High Prairie,CA,55.43,-116.49,3.13,87,100,6.64
Caravelas,BR,-17.71,-39.25,77.45,86,6,5.93
Owando,CG,-0.48,15.9,75.15,78,76,1.14
Mayumba,GA,-3.43,10.66,80.64,86,28,7.0
Gävle,SE,60.67,17.14,37.0,48,100,5.01
Les Escoumins,CA,48.11,-69.02,27.63,97,100,11.14
Palmer,US,42.16,-72.33,31.1,74,90,8.05
Vágur,FO,61.47,-6.81,44.65,72,95,36.75
Tilichiki,RU,60.47,166.1,19.54,93,57,4.59
San Cristobal,VE,7.77,-72.22,69.76,55,97,1.07
Nogales,MX,31.31,-110.94,64.71,27,1,4.7
Alenquer,BR,-1.94,-54.74,75.2,100,96,2.04
‘Ewa Beach,US,21.32,-158.01,76.08,57,1,5.82
Uruguaiana,BR,-29.75,-57.09,77.0,73,13,11.41
Aklavik,CA,68.22,-135.01,15.8,33,5,10.29
Sabang,ID,5.89,95.32,84.79,70,87,9.95
Villa Carlos Paz,AR,-31.42,-64.5,68.77,100,75,3.36
Coahuayana Viejo,MX,18.73,-103.68,73.76,65,8,2.91
Norman Wells,CA,65.28,-126.83,15.8,33,5,13.87
Bethel,US,41.37,-73.41,38.07,85,20,6.53
Pergine Valsugana,IT,46.06,11.24,29.23,92,90,3.36
Faanui,PF,-16.48,-151.75,83.01,75,4,11.52
Matiari,PK,25.6,68.45,73.4,64,0,9.17
Mayo,US,38.89,-76.51,41.43,81,90,10.29
Papar,MY,5.73,115.93,91.4,66,20,9.17
Yangambi,CD,0.81,24.43,74.3,84,100,2.89
Lahad Datu,MY,5.03,118.33,86.23,69,64,5.84
Tshikapa,CD,-6.42,20.8,75.9,76,47,0.63
Anchorage,US,61.22,-149.9,28.53,42,1,3.36
Alice Springs,AU,-23.7,133.88,87.8,35,72,17.22
Abu Dhabi,AE,24.47,54.37,71.89,78,0,4.7
Carutapera,BR,-1.2,-46.02,78.57,84,96,3.31
Maragogi,BR,-9.01,-35.22,78.84,84,48,7.81
Nome,US,64.5,-165.41,24.91,92,90,9.17
Birmitrapur,IN,22.4,84.77,98.94,14,0,6.26
Rjukan,NO,59.88,8.59,30.47,99,100,10.18
Plettenberg Bay,ZA,-34.05,23.37,62.44,82,90,11.1
Marzuq,YE,14.4,46.47,79.29,37,54,4.9
Iquique,CL,-20.22,-70.14,69.8,68,28,5.82
Vanimo,PG,-2.67,141.3,86.16,66,91,10.33
Naryan-Mar,RU,67.67,53.09,13.39,96,96,7.78
Ahipara,NZ,-35.17,173.17,65.48,76,85,7.18
Rørvik,NO,64.86,11.24,37.83,78,97,11.21
City of San Pedro,PH,14.35,121.02,93.07,52,20,9.17
Tougan,BF,13.07,-3.07,83.1,16,54,13.62
Stornoway,GB,58.21,-6.39,42.89,87,100,13.87
Praia,CV,14.92,-23.51,73.4,64,100,11.41
Jablah,SY,35.36,35.93,57.2,82,75,9.17
Mokrous,RU,51.23,47.52,36.1,74,0,14.38
Pisco,PE,-13.7,-76.22,71.33,83,99,1.12
Saint-Augustin,CA,51.23,-58.65,35.28,91,100,12.82
Carnarvon,AU,-24.87,113.63,78.8,61,100,18.34
Cockburn Town,TC,21.46,-71.14,76.71,74,0,10.25
Kavieng,PG,-2.57,150.8,83.84,79,85,15.39
Leiyang,CN,26.4,112.86,67.12,54,0,4.25
La Paz,BO,-16.5,-68.15,42.8,93,75,8.05
Zaragoza,ES,41.66,-0.88,43.97,100,90,2.24
Klaksvík,FO,62.23,-6.59,42.8,81,88,32.21
Dhidhdhoo,MV,6.88,73.1,84.87,74,61,10.67
Beyneu,KZ,45.32,55.2,56.73,59,71,17.56
Skellefteå,SE,64.75,20.95,33.93,59,90,11.41
Whitianga,NZ,-36.83,175.7,75.99,65,82,1.99
Teahupoo,PF,-17.83,-149.27,82.2,78,10,3.36
Brownsville,US,25.9,-97.5,70.81,77,1,5.82
Kalmunai,LK,7.42,81.82,86.09,51,42,7.56
Ambāgarh Chauki,IN,20.78,80.72,101.44,13,0,9.28
Houma,US,29.6,-90.72,57.96,71,1,14.99
Żurrieq,MT,35.83,14.47,58.71,87,87,9.17
Smithers,CA,54.78,-127.17,17.6,48,1,2.24
Monastyrshchina,RU,54.35,31.84,32.13,78,97,15.59
Ipojuca,BR,-8.4,-35.06,82.4,78,40,8.05
Kulunda,RU,52.57,78.94,35.38,82,0,10.0
Mumford,GH,5.26,-0.76,79.61,90,85,7.16
Tiksi,RU,71.69,128.87,2.91,89,100,5.55
Fort Nelson,CA,58.81,-122.7,10.4,60,20,5.82
Nouadhibou,MR,20.93,-17.03,66.2,77,99,9.17
Cocachacra,PE,-17.09,-71.76,71.98,73,99,3.13
Parkes,AU,-33.13,148.18,82.0,36,6,1.01
Kilakarai,IN,9.23,78.78,86.23,56,9,11.16
Uspenskaya,RU,45.76,41.07,48.04,62,25,7.96
Sucre,BO,-19.03,-65.26,55.58,36,99,2.01
Airai,TL,-8.93,125.41,71.69,59,36,2.51
Trairi,BR,-3.28,-39.27,79.09,85,100,8.61
Krasnosel'kup,RU,65.7,82.47,20.59,94,100,5.86
Port Blair,IN,11.67,92.75,81.7,71,0,6.93
Smidovich,RU,48.6,133.82,51.42,37,6,15.93
Churapcha,RU,62.0,132.43,27.37,96,100,3.42
Lithgow,AU,-33.48,150.15,76.28,69,40,11.41
Sibu,MY,2.3,111.82,89.24,66,75,4.7
Kahului,US,20.89,-156.47,69.15,73,40,9.17
Española,US,35.99,-106.08,50.16,22,1,9.17
Campestre Tarímbaro,MX,19.78,-101.13,68.0,45,40,0.89
San Marcos,US,33.14,-117.17,57.47,63,1,0.78
Hithadhoo,MV,-0.6,73.08,83.3,66,93,9.15
Puga,MX,21.58,-104.82,64.42,45,82,1.99
Villamontes,BO,-21.25,-63.5,76.24,63,100,2.33
Sault Ste. Marie,CA,46.52,-84.33,35.76,74,90,4.94
Peniche,PT,39.36,-9.38,43.32,93,20,11.63
Rēzekne,LV,56.5,27.32,32.58,90,100,19.01
Kununurra,AU,-15.77,128.73,100.4,35,18,3.36
Pula,HR,44.87,13.85,35.17,47,0,5.82
Pangody,RU,65.85,74.49,18.75,93,88,2.46
Lagoa,PT,39.05,-27.98,57.31,69,99,28.7
Ouro Preto,BR,-20.39,-43.51,61.75,72,41,0.56
Soyo,AO,-6.13,12.37,81.5,84,86,6.8
La Sarre,CA,48.8,-79.2,29.75,93,84,3.98
Bichura,RU,50.59,107.6,50.11,33,0,8.59
Tuy Hoa,VN,13.08,109.3,87.73,54,23,8.7
Biograd na Moru,HR,43.94,15.45,40.5,27,19,21.92
Uribia,CO,11.71,-72.27,76.57,79,13,9.93
Valparaíso,CL,-33.04,-71.63,53.29,81,68,8.12
Mireşu Mare,RO,47.5,23.33,21.85,62,0,4.7
Chamba,IN,32.57,76.13,66.07,31,11,4.59
Sālūr,IN,18.53,83.22,101.39,17,0,3.04
Namtsy,RU,62.72,129.67,28.4,68,40,4.47
Santarém,BR,-2.44,-54.71,75.2,100,78,1.95
Lüderitz,NA,-26.65,15.16,60.8,63,0,9.17
Morón,AR,-34.65,-58.62,70.77,73,66,13.87
Japura,ID,-0.32,102.35,88.12,70,82,1.5
Asău,RO,46.43,26.4,20.97,79,9,4.7
Olinda,BR,-8.01,-34.86,82.4,78,40,8.05
Tateyama,JP,34.98,139.87,54.82,100,90,9.17
Chernolesskoye,RU,44.72,43.71,53.69,55,24,5.32
Takahata,JP,38.0,140.19,57.24,76,75,10.29
Tautira,PF,-17.73,-149.15,82.18,78,12,3.36
Ziro,IN,27.63,93.83,80.6,54,40,4.7
Marsá Maţrūḩ,EG,31.35,27.25,53.6,87,2,6.93
Santa Maria,BR,-29.68,-53.81,73.4,88,40,9.17
Alakurtti,RU,66.97,30.35,19.0,88,99,5.99
Griffith,US,41.53,-87.42,37.8,93,90,9.17
Reinosa,ES,43.0,-4.14,46.83,81,100,1.12
Manokwari,ID,-0.87,134.08,83.52,77,92,9.84
Nyurba,RU,63.28,118.33,15.15,93,100,12.21
Barguzin,RU,53.62,109.62,37.42,63,53,11.79
Thayetmyo,MM,19.32,95.18,104.86,11,0,6.91
Gwadar,PK,25.12,62.33,75.58,61,0,6.4
Lebu,CL,-37.62,-73.65,53.85,81,1,14.74
Te Anau,NZ,-45.42,167.72,59.18,60,5,1.05
Langsa,ID,4.47,97.97,89.55,59,96,6.98
Guerrero Negro,MX,27.98,-114.06,65.43,59,100,11.18
Kedrovyy,RU,56.17,91.82,48.2,39,58,11.18
Kemptville,CA,45.02,-75.64,30.49,63,20,6.93
Arlit,NE,18.74,7.39,81.77,13,12,7.34
Salinas,US,36.68,-121.66,55.65,82,1,13.87
Makhachkala,RU,42.98,47.5,54.21,62,31,6.71
Khani,GE,41.96,42.96,48.2,76,75,5.82
Mérida,MX,20.97,-89.62,78.91,83,75,5.82
Portland,US,45.52,-122.68,41.68,70,90,6.93
Kloulklubed,PW,7.04,134.26,86.0,70,75,9.17
Kruisfontein,ZA,-34.0,24.73,61.54,78,85,14.79
Hong Kong,HK,22.29,114.16,67.37,88,40,4.7
Maţāy,EG,28.42,30.78,65.84,47,0,10.0
Brae,GB,60.4,-1.35,45.82,81,82,26.4
Mount Isa,AU,-20.73,139.5,95.0,24,40,13.87
Cairns,AU,-16.92,145.77,83.23,58,16,12.75
Gabi,PH,7.62,126.09,88.97,53,96,6.13
Kholodnyy,RU,62.72,147.95,13.78,84,59,6.38
Hadishahr,AZ,38.84,45.66,48.2,76,75,4.7
Berlevåg,NO,70.86,29.09,29.32,90,99,20.13
Neiafu,TO,-18.65,-173.98,81.75,75,100,5.3
Tegul'det,RU,57.31,88.17,40.42,70,77,10.04
Loreto,MX,22.27,-101.97,63.03,40,67,10.38
Krasnokamensk,RU,50.1,118.04,48.96,35,18,20.4
Lubbock,US,33.6,-101.83,55.6,62,75,10.29
Acapulco de Juárez,MX,16.86,-99.89,78.8,88,20,3.74
Verkhnyaya Inta,RU,65.98,60.31,22.03,88,0,7.4
Benjamin Constant,BR,-4.38,-70.03,73.35,96,98,1.19
Mineros,BO,-17.12,-63.23,75.2,94,91,2.24
Tselinnoye,RU,53.08,85.67,34.74,90,0,3.11
Saint-François,FR,46.42,3.91,24.57,85,0,4.7
Paraná,AR,-31.73,-60.52,76.87,67,3,1.99
Sharjah city,AE,25.36,55.4,69.26,73,0,8.05
Saravan,AM,39.72,45.65,48.2,76,75,4.7
Marabba,SD,12.35,32.18,88.65,11,37,8.68
Mackay,AU,-21.15,149.2,83.44,61,35,13.87
Chernyshevskiy,RU,63.01,112.47,13.1,88,13,11.59
Jandaia do Sul,BR,-23.6,-51.64,75.99,77,32,3.91
Dezhou,CN,37.45,116.29,60.53,27,80,7.02
Port Hardy,CA,50.7,-127.42,42.8,81,75,5.82
Kirovskiy,RU,45.09,133.51,48.72,45,7,8.03
San Carlos,VE,9.66,-68.58,74.3,68,33,3.62
Puerto Escondido,MX,15.85,-97.07,78.82,70,40,3.74
Rincon,US,32.3,-81.24,59.81,77,75,13.87
Lamesa,US,32.74,-101.95,57.02,50,90,10.29
Beloha,MG,-25.17,45.05,77.18,70,34,11.61
Faya,SA,18.39,42.45,62.6,77,5,11.41
Bilibino,RU,68.05,166.44,3.85,85,22,1.68
Cayhagan,PH,9.67,122.43,84.96,57,44,1.83
Cam Ranh,VN,11.92,109.16,89.6,70,20,9.17
Svobodnyy,RU,51.4,128.13,43.43,58,35,10.56
Vladimir,RU,56.14,40.4,25.61,88,23,9.55
Santa Cruz de Tenerife,ES,28.47,-16.25,56.82,93,75,8.05
North Myrtle Beach,US,33.82,-78.68,49.84,87,90,11.41
Santa Isabel,BR,-23.32,-46.22,65.64,100,40,2.24
Bonthe,SL,7.53,-12.51,79.74,89,35,4.54
Coolum Beach,AU,-26.53,153.1,80.08,79,18,4.0
Kempele,FI,64.91,25.5,25.88,92,58,6.93
Oddur,SO,4.12,43.89,84.24,51,58,16.44
Dwārka,IN,22.24,68.97,76.03,85,0,10.63
Inhambane,MZ,-23.86,35.38,76.75,66,65,2.55
Whitehorse,CA,60.72,-135.05,12.24,40,20,4.7
Vestmannaeyjar,IS,63.44,-20.27,38.89,74,94,31.23
Russell,US,32.35,-85.2,51.44,62,40,13.87
Mandalgovi,MN,45.76,106.27,40.59,26,0,11.68
Belém de São Francisco,BR,-8.75,-38.97,72.32,83,47,10.18
Antofagasta,CL,-23.65,-70.4,64.4,82,90,8.05
Liaqatabad,PK,31.56,74.3,66.58,64,0,5.82
Toora-Khem,RU,52.47,96.11,40.59,43,7,2.24
Varhaug,NO,58.61,5.65,41.31,87,75,9.17
Xalapa,MX,19.53,-96.92,61.34,59,45,1.95
Konstantinovka,RU,49.62,127.98,49.78,45,14,14.94
Arman',RU,59.7,150.17,22.51,91,0,2.06
Redlands,US,34.06,-117.18,61.07,45,90,8.05
Laas,IT,46.62,10.7,19.8,79,5,3.36
Atambua,ID,-9.11,124.89,81.75,69,32,3.38
Labuhan,ID,-6.88,112.21,87.01,68,25,4.5
Ferrol,ES,43.48,-8.24,44.51,100,75,2.24
Serro,BR,-18.6,-43.38,64.17,74,18,0.6
Syriam,MM,16.77,96.24,87.8,66,20,8.05
Mount Gambier,AU,-37.83,140.77,71.6,43,100,4.7
Pemba,MZ,-12.97,40.52,77.0,94,20,8.05
Hatta,IN,24.12,79.6,98.65,10,0,7.11
San Andrés,CO,12.58,-81.7,80.6,74,20,4.7
Vaitape,PF,-16.52,-151.75,83.86,75,4,11.48
Tsimmerbude,RU,54.67,20.13,37.4,74,75,17.9
Fare,PF,-16.7,-151.02,83.7,75,2,11.68
Suez,EG,29.97,32.53,63.32,62,0,6.96
Pacifica,US,37.61,-122.49,53.56,81,75,23.04
Takoradze,GH,4.88,-1.76,79.86,90,73,7.47
